component,time,jerk_value
Softplus Integral,9.99009009009009,-10.742442764665746
Poly+Sin+Log,0.10990990990990991,-4.107092977787604
Heaviside,1.992792792792793,-18.257418583505537
Noise,4.638738738738739,-2.6994427418833884
Noise,4.658558558558559,2.990202114512898
Noise,4.876576576576577,2.6077499322667426
Noise,4.896396396396397,-2.7200008782814304
Noise,5.837837837837838,2.661163596107355
Noise,5.857657657657658,-3.1261870529721403
Noise,6.76936936936937,2.5052224187758383
Noise,6.78918918918919,-2.7290145207550345
Noise,7.1063063063063066,3.4102121390284275
Noise,7.126126126126127,-2.819146996617885
Noise,7.532432432432433,-2.8248031839230543
Noise,7.552252252252253,3.006988621784804
Noise,7.938738738738739,2.58991487374742
Noise,7.988288288288289,-2.5751095334117178
Noise,8.00810810810811,2.652377262955585
Noise,8.027927927927928,-2.8214479117394884
Noise,8.097297297297299,-2.5032768393841565
Noise,8.127027027027028,-2.7204863530929146
Noise,8.146846846846847,2.5309987253685917
Noise,8.414414414414415,-2.8176113821350026
Noise,8.434234234234236,3.478798621787129
Noise,8.454054054054055,-2.8479999358491543
Noise,8.711711711711713,-3.6874474232924874
Noise,8.731531531531532,2.837848537555851
Noise,8.771171171171172,-2.91057856471263
Noise,9.147747747747749,-2.770006789823047
Noise,9.603603603603604,3.9094760387083625
Noise,9.623423423423423,-3.3690985328132177
Noise,9.98018018018018,-2.5235133407912738
Control (u(t)),0.10990990990990991,-3.4246090802025604
